,Variable 0,Variable 1,Variable 2,Sujeto,Año
309,-0.19501121,-1.0542647,1.1818678,3185,4
310,0.24276216,0.6217461,0.034970783,3186,0
311,0.013673045,0.008415461,0.49305165,3186,1
312,-0.25875318,-0.5798636,1.5885178,3186,2
313,-0.089101925,-0.10780187,0.06766589,3186,4
314,0.9116618,1.2832266,0.04660081,3188,0
315,0.79873914,1.2382683,-0.22934432,3189,0
316,-0.9964381,-1.5240798,1.8684176,3189,2
317,1.1559582,0.12662499,-0.08311631,3190,0
318,0.9976901,0.4361972,0.19976076,3190,1
319,1.2876087,-0.18921316,0.17161238,3190,2
320,0.9838657,0.34389704,-0.16414054,3190,4
321,-0.3075576,1.2859675,0.29002,3191,0
322,-0.55379015,0.6169038,0.51565486,3200,0
323,-0.30543593,0.0903019,0.48709378,3201,0
324,0.8470487,1.0599675,0.7117879,3203,0
325,0.7573592,1.2581402,0.6963751,3203,1
326,0.8336477,1.4667425,1.0318387,3203,2
327,0.7030416,1.1175804,0.69405824,3203,3
328,0.25296274,2.015916,0.33819842,3205,0
329,0.47736287,-1.076636,1.243881,3205,4
330,-0.69206893,1.4460093,0.9754253,3206,0
331,0.33908057,1.7482791,1.4422419,3207,0
332,0.04976242,-0.0895715,1.5261161,3207,1
333,0.62411404,1.8626592,0.9742396,3207,2
334,0.68754417,-0.6424894,1.4047443,3207,4
335,-0.95870227,2.4736645,-0.51684344,3209,0
336,-1.0498617,2.065685,-0.36776647,3209,1
337,-0.990754,2.1661038,-0.30002174,3209,2
338,0.6782667,1.4131627,0.02478894,3209,4
339,-0.024037004,0.6258069,1.168195,3211,0
340,-0.13104616,1.3964787,1.047753,3211,1
341,-0.17315017,0.4533047,1.1045352,3211,2
342,1.4723535,1.5062933,0.7550084,3212,0
343,1.1225756,1.0004073,1.1039615,3212,1
344,1.4401865,1.4097669,0.8839525,3212,2
345,1.480754,-0.50949085,1.554771,3212,4
346,-0.2824419,0.7308417,0.78686476,3213,0
347,0.68614644,0.041189097,1.0504355,3214,0
348,1.2282686,0.36853504,0.42738587,3214,1
349,0.49650842,-0.072823256,0.9267851,3214,2
350,0.60767055,-1.1423799,1.1367313,3214,4
351,0.19525944,0.7926565,1.0879877,3215,0
352,-0.1929092,2.2972639,1.0345019,3216,0
353,0.5358772,2.2216175,-0.41151902,3217,0
354,0.43972287,0.177169,1.5528048,3218,0
355,0.38245466,0.44040522,1.4933422,3218,1
356,0.25972548,0.22755668,1.8317795,3218,2
357,0.21620004,0.11020249,1.6288866,3218,4
358,-0.49554026,0.73597896,1.3432336,3219,0
359,1.4553248,0.9127717,2.027825,3220,0
360,0.98913836,0.30019313,1.6558526,3220,1
361,1.1086304,0.7476955,2.1400988,3220,2
362,0.89612293,0.73923963,1.9802363,3220,4
363,0.7860798,0.9021102,0.68648565,3221,0
364,-0.5021657,0.8566927,1.503053,3222,0
365,1.0073297,0.46328157,0.4511471,3223,0
366,0.53540933,0.3811701,0.15995714,3223,1
367,0.70912695,0.269063,0.48517773,3223,2
368,0.889773,0.34873152,0.34951586,3223,4
369,0.54057634,0.55380607,1.008941,3224,0
370,0.5779455,0.34503895,0.9836051,3224,1
371,0.72724056,0.61010593,1.0478787,3224,2
372,0.4555394,0.72352695,1.1631267,3224,4
373,0.09296,0.094576836,0.0032879785,3225,0
374,-0.09025196,0.21822438,-0.1994898,3225,1
375,-0.113670185,0.30245534,-0.27262232,3225,2
376,0.0031981766,0.22045663,-0.015487716,3225,4
377,-0.057615113,0.9038356,1.4070847,3226,0
378,0.12433572,1.2450217,1.543294,3226,1
379,0.005059153,0.87020093,1.6327368,3226,2
380,-0.20366633,0.9139738,1.7310139,3226,4
381,0.7715167,1.062446,0.1404734,3227,0
382,0.7771477,1.0307534,0.09614841,3227,1
383,0.93732274,1.0903748,0.055136606,3227,2
384,0.8793649,0.82694036,0.24248685,3227,4
385,0.6191314,0.77728593,0.8955722,3228,0
386,1.3161525,0.9879468,0.55720794,3228,1
387,1.1844287,1.0040978,0.68665975,3228,2
388,0.489754,0.2287849,0.4207335,3229,0
389,1.129725,0.4955243,0.7322806,3229,1
390,0.69656146,0.48179102,1.3384438,3229,2
391,0.7895773,0.08538675,0.91208404,3230,0
392,0.4755714,0.25401616,1.4047422,3230,1
393,0.42611068,-0.61235684,1.2282926,3230,2
394,-0.29471385,-0.112442985,1.3526376,3231,0
395,-0.3026268,-0.58268315,1.0333043,3231,1
396,-0.059125826,-0.40548095,1.1075642,3231,2
397,-0.38472974,0.13396636,1.1288304,3233,0
398,-0.17141649,0.67005575,0.8691513,3233,1
